Query,Rank,Title,DocID,Score,URL
potty training tips for toddlers,1,6 Solutions to Your Child's Biggest Potty Training Problems,27,19.03701782,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
potty training tips for toddlers,2,Toddler Won't Sit on the Potty? Try This. - Motherly,149,17.58115959,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
potty training tips for toddlers,3,I Learned Not Trying to Potty Train is the Best Way to Potty Train,22,17.5771122,https://www.parents.com/toddlers-preschoolers/potty-training/i-learned-not-trying-to-potty-train-is-the-best-way-to-potty-train/
handling toddler tantrums,1,23 Mom-Tested Ways to Manage a Tantrum - Motherly,36,16.46438408,https://www.mother.ly/toddler/toddler-milestones/23-tantrum-taming-tips/
handling toddler tantrums,2,How to Handle a Toddler Tantrum,154,14.82510281,https://www.mother.ly/parenting/handle-toddler-tantrum/
handling toddler tantrums,3,23 Mom-Tested Ways to Manage a Tantrum - Motherly,36,14.82510281,https://www.mother.ly/toddler/toddler-milestones/23-tantrum-taming-tips/
child is distracted and cannot focus,1,"How do I get my toddler to stop telling me ""NO""?",13,39.85061264,https://www.parents.com/toddlers-preschoolers/discipline/how-do-i-get-my-toddler-to-stop-telling-me-no/
child is distracted and cannot focus,2,6 Solutions to Your Child's Biggest Potty Training Problems,27,39.85061264,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
child is distracted and cannot focus,3,"How do I get my toddler to stop telling me ""NO""?",13,38.70663834,https://www.parents.com/toddlers-preschoolers/discipline/how-do-i-get-my-toddler-to-stop-telling-me-no/
destructive and aggressive behavior in child,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,27.55063629,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
destructive and aggressive behavior in child,2,,70,27.55063629,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Aggressive-Behavior.aspx
destructive and aggressive behavior in child,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,26.80964279,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
