Query,Rank,Title,DocID,Score,URL
defiant argumentative behavior in child,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,6.392515659,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
defiant argumentative behavior in child,2,Oppositional Defiant Disorder in Children: What to Know,17,6.230153561,https://www.parents.com/kids/development/behavioral/i-thought-my-child-was-just-misbehaving-but-it-was-really-odd/
defiant argumentative behavior in child,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,6.230153561,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
potty training tips for toddlers,1,6 Solutions to Your Child's Biggest Potty Training Problems,27,6.735332489,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
potty training tips for toddlers,2,"Stages of Toilet Training: Different Skills, Different Schedules",,6.027562141,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Stages-of-Toilet-Training-Different-Skills-Different-Schedules.aspx
potty training tips for toddlers,3,Create a Potty Training Plan for Your Child,,5.166875362,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/creating-a-toilet-training-plan.aspx
handling toddler tantrums,1,How to Deal with Toddler Temper Tantrums,14,4.176255703,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
handling toddler tantrums,2,How to Handle a Toddler Tantrum,154,4.176255703,https://www.mother.ly/parenting/handle-toddler-tantrum/
handling toddler tantrums,3,How to Deal with Toddler Temper Tantrums,14,3.454054117,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
child is distracted and cannot focus,1,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,9.354011536,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is distracted and cannot focus,2,2 Things Not to Say to Kids With ADHD | Psychology Today,145,9.099762917,https://www.psychologytoday.com/us/blog/up-and-running/202212/2-things-its-best-not-to-say-to-children-with-adhd
child is distracted and cannot focus,3,Communication Strategies for Parents of Children with ADHD - Child Development Institute,69,6.919171333,https://childdevelopmentinfo.com/parenting/communication-strategies-parents-children-adhd/
destructive and aggressive behavior in child,1,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,7.63521862,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
destructive and aggressive behavior in child,2,Oppositional Defiant Disorder in Children: What to Know,17,7.625707626,https://www.parents.com/kids/development/behavioral/i-thought-my-child-was-just-misbehaving-but-it-was-really-odd/
destructive and aggressive behavior in child,3,My Kid's Toddler Tantrums Are Getting Out of Hand. How Do I Help Her Express Anger In A Healthier Way?,10,7.625707626,https://www.parents.com/parenting/better-parenting/advice/ask-your-mom/my-kids-toddler-tantrums-are-getting-out-of-hand-how-do-i-help-her-express-anger-in-a-healthier-way/
